id,gpa,undergrad_school,app_school,gmat,gre,ielts,toefl
26047,3.3,西安电子科技大学,波士顿大学,,316,,98
26034,3.7,天津科技大学,波士顿大学,,,,100
26014,3.95,浙江工商大学,波士顿大学,,330,,108
25857,3.2,东南大学,波士顿大学,,325,,98
25745,3.4,华东政法大学,波士顿大学,,,,102
25739,3.75,西北农林科技大学,波士顿大学,,320,,90
25691,3.4,浙江大学,波士顿大学,,318,,100
25690,3.25,北京科技大学,波士顿大学,,318,,92
25496,3.4,北京邮电大学,波士顿大学,,320,,100
25485,3.55,北京科技大学,波士顿大学,,322,,110
25397,3.49,北京工业大学,波士顿大学,,314,,96
25261,3.7,西安交通大学,波士顿大学,,309,,80
25140,3.5,北京航空航天大学,波士顿大学,,318,,85
25139,3.5,中山大学,波士顿大学,,336,,112.9098966
24509,3.2,中国人民大学,波士顿大学,,249,,92
24497,3.1,埃默里大学,波士顿大学,,319,,
24493,3,北京理工大学,波士顿大学,,319,,104
24451,3.7,中国人民大学,波士顿大学,,,,107
24437,3.69,中国政法大学,波士顿大学,,318,,102
23968,3.1,北京交通大学,波士顿大学,,321,,106
23920,3.29,哈尔滨工业大学,波士顿大学,,322,,103
23842,3.7,西安交通大学,波士顿大学,,309,,80
23780,3.2,浙江大学,波士顿大学,,317,,88
23742,3.87,中山大学,波士顿大学,,,,98
23583,3.5,北京理工大学,波士顿大学,,320,,100
23546,2.4,福州大学,波士顿大学,,,,93
23531,3.42,中南财经政法大学,波士顿大学,,317,,97
23342,3.83,武汉大学,波士顿大学,,320,,109
23334,3.4,天津财经大学,波士顿大学,,,,84
22189,3.72,惠州学院,波士顿大学,,307,,93
22121,3.7,中山大学,波士顿大学,,317,,107
